ATC_code,applicant,composition,dosage_form,international_name,link_of_instruction,manufacturer,number_of_certificate,original,prescribed,registration_date,storage_list,term_of_usage,trade_name,validity
A12AA03,"Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",Calcium gluconate,"таблетки 500мг в контурной безъячейковой упаковке №10х5,таблетки 500мг в контурной ячейковой упаковке №10х5",Calcium gluconate,"https://rceth.by//NDfiles/instr/19_12_238_p.pdf,https://rceth.by//NDfiles/instr/19_12_238_s.pdf","Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",19/12/238,генерик,без рецепта,02.06.2016,,5 лет,КАЛЬЦИЯ ГЛЮКОНАТ,бессрочно
,"Лекфарм СООО, Республика Беларусь",Dexketoprofen,субстанция,Dexketoprofen,,"Emcure Pharmaceuticals Ltd., Индия",2115/16,генерик,,28.04.2016,,"2,5 года",ДЕКСКЕТОПРОФЕНА ТРОМЕТАМОЛ,бессрочно
A12AX,"Минскинтеркапс УП, Республика Беларусь","Calcium, combinations with vitamin D and/or other drugs","капсулы 133,4МЕ/166,7мг в контурной ячейковой  упаковке №10х6","Calcium, combinations with vitamin D and/or other drugs","https://rceth.by//NDfiles/instr/18_03_1219_p.pdf,https://rceth.by//NDfiles/instr/18_03_1219_s.pdf","Минскинтеркапс УП, Республика Беларусь",22/08/1219,генерик,без рецепта,05.03.2018,,2 года,КАЛЬЦИЙ-Д3-МИК ФОРТЕ,бессрочно
N02BE51,"АмантисМед ООО, Республика Беларусь","Paracetamol, combinations excl. psycholeptics","порошок для приготовления раствора для приема внутрь (малина и клюква)  в пакетах в упаковке №5, №10","Paracetamol, combinations excl. psycholeptics","https://rceth.by//NDfiles/instr/21_09_3184_p.pdf,https://rceth.by//NDfiles/instr/21_09_3184_s.pdf","АмантисМед ООО, Республика Беларусь",21/09/3184,генерик,без рецепта,30.09.2021,,2 года,ГРИППОЛЕК,бессрочно
A12AX,"Минскинтеркапс УП, Республика Беларусь","Calcium, combinations with vitamin D and/or other drugs","капсулы жевательные со вкусом мяты 500мг/800МЕ в контейнерах №30 в упаковке №1,капсулы жевательные со вкусом мяты 500мг/800МЕ в контурной ячейковой  упаковке №8х2, №8х3, №8х4","Calcium, combinations with vitamin D and/or other drugs","https://rceth.by//NDfiles/instr/20_12_3099_p.pdf,https://rceth.by//NDfiles/instr/20_12_3099_s.pdf","Минскинтеркапс УП, Республика Беларусь",20/12/3099,генерик,без рецепта,23.12.2020,,2 года,КАЛЬЦИЙ-Д3-800 МАКС,23.12.2025
A12AX,"Минскинтеркапс УП, Республика Беларусь","Calcium, combinations with vitamin d and/or other drugs","капсулы 66,7МЕ/166,7мг в контурной ячейковой  упаковке №10х6","Calcium, combinations with vitamin d and/or other drugs","https://rceth.by//NDfiles/instr/22_07_1218_s.pdf,https://rceth.by//NDfiles/instr/22_07_1218_p.pdf","Минскинтеркапс УП, Республика Беларусь",22/07/1218,генерик,без рецепта,05.03.2018,,2 года,КАЛЬЦИЙ-Д3-МИК,бессрочно
C08CA01,"Pharmacare Int. Co./German Palestinian Joint Venture, Палестина",Amlodipine,"таблетки 10мг в блистерах в упаковке №10х3, №10х4, №10х6",Amlodipine,"https://rceth.by//NDfiles/instr/9319_10_15_21_p.pdf,https://rceth.by//NDfiles/instr/9319_10_15_21_s.pdf","Birzeit Pharmaceutical Company (BPC), Палестина",9319/10/15/21,генерик,по рецепту,16.09.2021,,3 года,ВАСКОПИН ФАРМАКАР,бессрочно
C08CA01,"Pharmacare Int. Co./German Palestinian Joint Venture, Палестина",Amlodipine,"таблетки 5мг в блистерах в упаковке №10х3, №10х4, №10х6",Amlodipine,"https://rceth.by//NDfiles/instr/9531_11_16_p.pdf,https://rceth.by//NDfiles/instr/9531_11_16_s.pdf","Birzeit Pharmaceutical Company (BPC), Палестина",9531/11/16,генерик,по рецепту,08.11.2016,,3 года,ВАСКОПИН ФАРМАКАР,бессрочно
,"Белмедпрепараты РУП, Республика Беларусь",,субстанция,,,"Alchymars ICM SM Private Limited, Индия",2474/19/22,не определено,,05.06.2019,,4 года,ВАРФАРИНА НАТРИЯ КЛАТРАТ,бессрочно
,"Государственное научное учреждение Институт физико-органической химии Национальной академии наук Беларуси, Республика Беларусь",,субстанция,,,"Государственное научное учреждение Институт физико-органической химии Национальной академии наук Беларуси, Республика Беларусь",17/03/1355,,,22.03.2017,,2 года,КАЛЬЦИЯ ГЛИЦИНАТ,бессрочно
L01XC08,"Amgen Europe B.V., Нидерланды",Panitumumab,концентрат  для приготовления раствора для инфузий 100мг/5мл во флаконах 5мл в упаковке №1,Panitumumab,"https://rceth.by//NDfiles/instr/10620_18_22_s.pdf,https://rceth.by//NDfiles/instr/10620_18_22_p.pdf","Amgen Manufacturing Limited, Пуэрто-Рико / Amgen Europe B.V., Нидерланды",10620/18/22,оригинальное,по рецепту,22.11.2022,,3 года,ВЕКТИБИКС,бессрочно
,"Минскинтеркапс УП, Республика Беларусь",Calcium carbonate,субстанция,Calcium carbonate,,"Merck KGaA, Германия",717/05/10/15/20,не определено,,27.05.2020,,5 лет,КАЛЬЦИЯ КАРБОНАТ,бессрочно
A10BD07,"Merck Sharp & Dohme LLC., США",Metformin and sitagliptin,"таблетки, покрытые пленочной оболочкой 50мг/1000мг в блистерах в упаковке №14х4,таблетки, покрытые пленочной оболочкой 50мг/500мг в блистерах в упаковке №14х4,таблетки, покрытые пленочной оболочкой 50мг/850мг в блистерах в упаковке №14х4",Metformin and sitagliptin,https://rceth.by//NDfiles/instr/10130_13_15_18_23_i.pdf,"Patheon Puerto-Rico, Inc., Пуэрто-Рико/Merck Sharp&Dohme B.V., Нидерланды",10130/13/15/18/23,оригинальное,по рецепту,30.05.2018,,2 года,ЯНУМЕТ,бессрочно
,"Белмедпрепараты РУП, Республика Беларусь",Ampicillin,субстанция,Ampicillin,,"Aurobindo Pharma Ltd., Индия",878/06/10/15/20,не определено,,22.04.2020,,3 года,АМПИЦИЛЛИНА ТРИГИДРАТ,бессрочно
M01AH05,"Organon Central East GmbH, Швейцария",Etoricoxib,"таблетки, покрытые  пленочной оболочкой 120мг в блистерах в упаковке №7х1, №7х4,таблетки, покрытые  пленочной оболочкой 60мг в блистерах в упаковке №7х1, №7х4,таблетки, покрытые  пленочной оболочкой 90мг в блистерах в упаковке №7х1, №7х4",Etoricoxib,"https://rceth.by//NDfiles/instr/9464_10_11_12_15_16_20_21_p.pdf,https://rceth.by//NDfiles/instr/9464_10_11_12_15_16_20_21_s.pdf","Rovi Pharma Industrial Services, S.A., Испания",9464/10/11/12/15/16/20/21,оригинальное,по рецепту,22.06.2020,,3 года,АРКОКСИА,бессрочно
N06AB05,"Medochemie Ltd., Кипр",Paroxetine,таблетки 20мг в блистерах в упаковке №10х3,Paroxetine,https://rceth.by//NDfiles/instr/7816_06_11_17_i.pdf,"Farmaceutish Analitisch Laboratorium Duiven B.V., Нидерланды/ Medochemie Ltd., Кипр",7816/06/11/17,генерик,по рецепту,29.03.2017,,3 года,АРКЕТИС,бессрочно
B01AA03,"Stada Arzneimittel AG, Германия",Warfarin,"таблетки 2,5мг во флаконах №50, №100 в упаковке №1",Warfarin,"https://rceth.by//NDfiles/instr/5553_02_07_12_16_17_21_s.pdf,https://rceth.by//NDfiles/instr/5553_02_07_12_16_17_21_p.pdf","Takeda Pharma Sp. z.o.o., Польша",5553/02/07/12/16/17/21,оригинальное,по рецепту,02.11.2017,,5 лет,ВАРФАРИН ШТАДА,бессрочно
B01AA03,"Белмедпрепараты РУП, Республика Беларусь",Warfarin,"таблетки 2,5мг в контурной ячейковой упаковке №20х2, №20х5",Warfarin,"https://rceth.by//NDfiles/instr/19_07_1940_p.pdf,https://rceth.by//NDfiles/instr/19_07_1940_s.pdf","Белмедпрепараты РУП, Республика Беларусь",19/07/1940,генерик,по рецепту,08.12.2016,,3 года,ВАРФАРИН,бессрочно
B01AA03,"Гриндекс АО, Латвия",Warfarin,"таблетки 3мг во флаконах №30, №100 в упаковке №1,таблетки 5мг во флаконах №30, №100 в упаковке №1",Warfarin,https://rceth.by//NDfiles/instr/5377_01_03_06_08_13_17_18_i.pdf,"Гриндекс АО, Латвия",5377/01/03/06/08/13/17/18,генерик,по рецепту,29.01.2018,,5 лет,ВАРФАРЕКС,бессрочно
J07BK01,"GlaxoSmithKline Export Ltd, Великобритания","Varicella, live attenuated","лиофилизат для приготовления раствора для подкожного введения  во флаконах 1 доза в комплекте с растворителем в предварительно наполненном шприце 0,5мл в упаковке №1","Varicella, live attenuated","https://rceth.by//NDfiles/instr/8025_07_12_17_19_20_21_s.pdf,https://rceth.by//NDfiles/instr/8025_07_12_17_19_20_21_p.pdf","Corixa Corporation, США/ GlaxoSmithKline Biologicals SA, Бельгия",8025/07/12/17/19/20/21,оригинальное,по рецепту,13.01.2017,,2 года,ВАРИЛРИКС,бессрочно
R05CA10,"Тернофарм ООО, Украина",Combinations,"порошок  во флаконах 19,55г в упаковке №1",Combinations,"https://rceth.by//NDfiles/instr/5917_02_07_08_13_19_p.pdf,https://rceth.by//NDfiles/instr/5917_02_07_08_13_19_s.pdf","Тернофарм ООО, Украина",5917/02/07/08/13/19,генерик,без рецепта,31.05.2019,,1 год,АРИДА,бессрочно
M03AC06,"Gedeon Richter Plc., Венгрия",Pipecuronium bromide,"лиофилизированный порошок для инъекций 4мг во флаконах в комплекте с растворителем (0,9% раствор натрия хлорида в ампулах 2мл) в упаковке №(5+5)х5",Pipecuronium bromide,https://rceth.by//NDfiles/instr/887_94_99_04_09_15_19_i.pdf,"Gedeon Richter Plc., Венгрия",887/94/99/04/09/15/19,оригинальное,для стационаров,05.12.2019,А,3 года,АРДУАН,бессрочно
D06BA02,"БАУШ ХЕЛС ООО, Российская Федерация",Sulfathiazole,крем 20мг/г в тубах 40г в упаковке №1,Sulfathiazole,"https://rceth.by//NDfiles/instr/1870_96_01_06_11_14_16_21_s.pdf,https://rceth.by//NDfiles/instr/1870_96_01_06_11_14_16_21_p.pdf","Pharmaceutical Works Jelfa S.A., Польша",1870/96/01/06/11/14/16/21,генерик,без рецепта,28.11.2016,,2 года,АРГОСУЛЬФАН,бессрочно
D11AX,"Herbapol S. A. Poznan Herbal Company, Польша",Other dermatologicals,мазь для наружного применения  в тубах 30г в упаковке №1,Other dermatologicals,"https://rceth.by//NDfiles/instr/6630_04_09_14_19_p.pdf,https://rceth.by//NDfiles/instr/6630_04_09_14_19_s.pdf","Herbapol S. A. Poznan Herbal Company, Польша",6630/04/09/14/19,генерик,без рецепта,15.08.2019,,3 года,АРКАЛЕН,бессрочно
A13A,"Ферейн СОАО, Республика Беларусь",Tonics,"настойка для внутреннего применения  во флаконах 30мл, 50мл в упаковке №1",Tonics,"https://rceth.by//NDfiles/instr/20_03_721_p.pdf,https://rceth.by//NDfiles/instr/20_03_721_s.pdf","Ферейн СОАО, Республика Беларусь",22/02/721,генерик,без рецепта,09.03.2020,,3 года,АРАЛИИ НАСТОЙКА,бессрочно
N05AX12,"Асино Украина ООО, Украина",Aripiprazole,"таблетки 10мг в блистерах в упаковке №10х3, №10х6,таблетки 15мг в блистерах в упаковке №10х3, №10х6",Aripiprazole,https://rceth.by//NDfiles/instr/10717_19_21_i.pdf,"Фарма Старт ООО, Украина",10717/19/21,генерик,по рецепту,30.04.2019,,3 года,АРИПРАЗОЛ,30.04.2024
B01AF02,"АмантисМед ООО, Республика Беларусь",Apixaban,"таблетки, покрытые пленочной оболочкой, 2,5мг в контурной  ячейковой упаковке №10х2, №10х3, №10х6,таблетки, покрытые пленочной оболочкой, 5мг в контурной  ячейковой упаковке №10х2, №10х3, №10х6",Apixaban,"https://rceth.by//NDfiles/instr/23_10_3323_s.pdf,https://rceth.by//NDfiles/instr/23_10_3323_p.pdf","АмантисМед ООО, Республика Беларусь",23/10/3323,генерик,по рецепту,19.10.2023,,3 года,АПИКСАБАН-АМ,19.10.2028
,"Фармтехнология ООО, Республика Беларусь",Apixaban,субстанция,Apixaban,,"CTX Lifesciences Pvt., Ltd., Индия",2695/22,генерик,,13.01.2022,,3 года,АПИКСАБАН,бессрочно
B01AF02,"Нативита СООО, Республика Беларусь",Apixaban,таблетки покрытые пленочной оболочкой 5мг в банке №60 в упаковке №1,Apixaban,"https://rceth.by//NDfiles/instr/22_02_3104_p.pdf,https://rceth.by//NDfiles/instr/22_02_3104_s.pdf","Natco Pharma Ltd., Индия упаковано Нативита СООО, Республика Беларусь",22/02/3104,генерик,по рецепту,28.01.2021,,3 года,АПИКСА,28.01.2026
,"Фортива Мед ООО, Республика Беларусь",Benzydamine,субстанция,Benzydamine,,"Uquifa Mexico S.A. de C.V., Мексика",2459/19,,,05.04.2019,,5 лет,БЕНЗИДАМИНА ГИДРОХЛОРИД,бессрочно
G04BD08,"Nobel Ilac Sanayii ve Ticaret A.S., Турция",Solifenacin,"таблетки, покрытые пленочной оболочкой, 10мг в блистерах №10х3,таблетки, покрытые пленочной оболочкой, 5мг в блистерах №10х3",Solifenacin,"https://rceth.by//NDfiles/instr/10628_18_23_p.pdf,https://rceth.by//NDfiles/instr/10628_18_23_s.pdf","Nobel Ilac Sanayii ve Ticaret A.S., Турция",10628/18/23/24,генерик,по рецепту,11.04.2023,,2 года,ВЕЗИФИКС,бессрочно
C05AX03,"Farmaprim SRL, Республика Молдова","Other preparations, combinations",суппозитории ректальные  в контурной ячейковой упаковке №5х2,"Other preparations, combinations","https://rceth.by//NDfiles/instr/6499_03_08_14_19_p.pdf,https://rceth.by//NDfiles/instr/6499_03_08_14_19_s.pdf","Farmaprim SRL, Республика Молдова",6499/03/08/14/19,генерик,без рецепта,05.06.2019,,3 года,АНУЗОЛ-ФАРМАПРИМ,бессрочно
C05AX03,"Монфарм ПАО, Украина","Other preparations, combinations",суппозитории ректальные  в стрипах в упаковке №5х2,"Other preparations, combinations","https://rceth.by//NDfiles/instr/6176_03_08_12_13_18_p.pdf,https://rceth.by//NDfiles/instr/6176_03_08_12_13_18_s.pdf","Монфарм ПАО, Украина",6176/03/08/12/13/18,генерик,без рецепта,08.08.2018,,2 года,АНУЗОЛ-М,бессрочно
C05AX03,"НИЖФАРМ АО, Российская Федерация","Other preparations, combinations",суппозитории ректальные  в контурной  ячейковой упаковке №5х2,"Other preparations, combinations","https://rceth.by//NDfiles/instr/3430_96_01_06_11_16_17_21_s.pdf,https://rceth.by//NDfiles/instr/3430_96_01_06_11_16_17_21_p.pdf","НИЖФАРМ АО, Российская Федерация",3430/96/01/06/11/16/17/21,генерик,без рецепта,28.07.2016,,3 года,АНУЗОЛ,бессрочно
D06BA01,"Фармтехнология ООО, Республика Беларусь",Silver sulfadiazine,"крем для наружного применения 10мг/г в тубах 200г в упаковке №1,крем для наружного применения 10мг/г в тубах 30г в упаковке №1,крем для наружного применения 10мг/г в тубах 50г в упаковке №1",Silver sulfadiazine,"https://rceth.by//NDfiles/instr/20_07_1892_s.pdf,https://rceth.by//NDfiles/instr/20_07_1892_p.pdf","Фармтехнология ООО, Республика Беларусь",20/07/1892,генерик,без рецепта,28.04.2016,,2 года,АРГЕЗИН,бессрочно
J01XE03,"Adamed Pharma S.A., Польша",Furazidin,таблетки 50мг в блистерах в упаковке №30х1,Furazidin,"https://rceth.by//NDfiles/instr/10530_16_20_21_p.pdf,https://rceth.by//NDfiles/instr/10530_16_20_21_s.pdf","Adamed Pharma S.A., Польша",10530/16/20/21,генерик,по рецепту,20.12.2021,,3 года,АНТИЦИСТ,бессрочно
B01AF02,"КБ-ФАРМА ООО, Республика Беларусь",Apixaban,"таблетки, покрытые оболочкой, 2,5мг в блистерах в упаковке №10х3, №10х6,таблетки, покрытые оболочкой, 5мг в блистерах в упаковке №7х4, №7х8",Apixaban,"https://rceth.by//NDfiles/instr/10749_19_23_p.pdf,https://rceth.by//NDfiles/instr/10749_19_23_s.pdf","Aizant Drug Research Solutions PVT LTD, Индия",10749/19/23,генерик,по рецепту,19.09.2019,,3 года,АПИКСАН,19.09.2024
J01CR02,"Белорусско-голландское совместное предприятие общество с ограниченной ответственностью Фармлэнд (СП ООО Фармлэнд), Республика Беларусь",Amoxicillin and beta-lactamase inhibitor,"таблетки, покрытые оболочкой, 500мг/125мг в контурной безъячейковой  упаковке №6х2, №6х3",Amoxicillin and beta-lactamase inhibitor,"https://rceth.by//NDfiles/instr/20_05_3017_s.pdf,https://rceth.by//NDfiles/instr/20_05_3017_p.pdf","Белорусско-голландское совместное предприятие общество с ограниченной ответственностью Фармлэнд (СП ООО Фармлэнд), Республика Беларусь",20/05/3017,генерик,по рецепту,04.05.2020,,2 года,АМОКЛАВ ФАРМЛЭНД,04.05.2025
B01AF02,"Нативита СООО, Республика Беларусь",Apixaban,"таблетки покрытые пленочной оболочкой 2,5мг в банке №60 в упаковке №1",Apixaban,"https://rceth.by//NDfiles/instr/22_02_2922_s.pdf,https://rceth.by//NDfiles/instr/22_02_2922_p.pdf","Natco Pharma Ltd., Индия упаковано Нативита СООО, Республика Беларусь",22/02/2922,генерик,по рецепту,26.04.2019,,3 года,АПИКСА,26.04.2024
R07AB,"ДКП Фармацевтическая фабрика ООО, Украина",Respiratory stimulants,раствор для наружного применения 10% во флаконах 40мл в упаковке №1,Respiratory stimulants,"https://rceth.by//NDfiles/instr/10838_20_p.pdf,https://rceth.by//NDfiles/instr/10838_20_s.pdf","ДКП Фармацевтическая фабрика ООО, Украина",10838/20,генерик,без рецепта,18.08.2020,,3 года,АММИАК,18.08.2025
C09BB04,"Лекфарм СООО, Республика Беларусь",Perindopril and amlodipine,"капсулы 4мг/10мг в контурной  ячейковой упаковке №10х3,капсулы 4мг/5мг в контурной  ячейковой упаковке №10х3,капсулы 8мг/10мг в контурной  ячейковой упаковке №10х3,капсулы 8мг/5мг в контурной  ячейковой упаковке №10х3",Perindopril and amlodipine,"https://rceth.by//NDfiles/instr/23_11_2243_s.pdf,https://rceth.by//NDfiles/instr/23_11_2243_p.pdf","Лекфарм СООО, Республика Беларусь",23/11/2243,генерик,по рецепту,05.12.2019,,2 года,АМЛОТЕНЗИН,бессрочно
J01CR02,"Белорусско-голландское совместное предприятие общество с ограниченной ответственностью Фармлэнд (СП ООО Фармлэнд), Республика Беларусь",Amoxicillin and beta-lactamase inhibitor,"таблетки, покрытые оболочкой, 875мг/125мг в контурной безъячейковой  упаковке №7х2, №7х3",Amoxicillin and beta-lactamase inhibitor,"https://rceth.by//NDfiles/instr/20_05_3018_s.pdf,https://rceth.by//NDfiles/instr/20_05_3018_p.pdf","Белорусско-голландское совместное предприятие общество с ограниченной ответственностью Фармлэнд (СП ООО Фармлэнд), Республика Беларусь",20/05/3018,генерик,по рецепту,04.05.2020,,2 года,АМОКЛАВ ФАРМЛЭНД,04.05.2025
,"Минскинтеркапс УП, Республика Беларусь",Amlodipine,субстанция,Amlodipine,,"Hetero Drugs Limited, Индия",1135/09/10/15/21,не определено,,16.09.2021,,5 лет,АМЛОДИПИНА БЕСИЛАТ,бессрочно
,"Рубикон ООО, Республика Беларусь",Amlodipine,субстанция,Amlodipine,,"Kopalle Pharma Chemicals Pvt. Ltd., Индия",1899/14/20,не определено,,18.05.2020,,4 года,АМЛОДИПИНА БЕСИЛАТ,бессрочно
R07AB,"Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",Respiratory stimulants,раствор для наружного применения 100мг/мл в ампулах 1мл в упаковке №10,Respiratory stimulants,"https://rceth.by//NDfiles/instr/15_12_290_p.pdf,https://rceth.by//NDfiles/instr/15_12_290_s.pdf","Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",15/12/290,генерик,без рецепта,24.12.2015,,5 лет,АММИАК,бессрочно
,"Лекфарм СООО, Республика Беларусь",Amlodipine,субстанция,Amlodipine,,"Unichem Laboratories Limited, Индия",1299/10/14/19,не определено,,23.10.2019,,5 лет,АМЛОДИПИНА БЕСИЛАТ,бессрочно
